review,sentiment
"This was obviously the worst movie ever made...ketchup was the starring role in this movie and would be the only nominee for an award..cause the plot, actors, and anything related to this farce was absolutely horrible and ridiculous. I could have made a better horror flick in my backyard within two hours with a hand-held camera using grass stuffed dummies as the actors, atleast the acting would have been better! Don't waste your time or money on this one...it's extremely cheesy and horrible!!",negative
Another good Stooge short!Christine McIntyre is so lovely and evil and the same time in this one!She is such a great actress!The Stooges are very good and especially Shemp and Larry!This to is a good one to watch around Autumn time!,positive
"The story-line of ""The Thief of Bagdad"" is complex, owing to its being told in flashbacks and having three separate and equally important strands woven together. The screenplay by Lajo Biros and the dialogue by Miles Malleson keep the story moving skillfully at all points.The young King Ahmad of Bagdad is angry at his vizier Jaffar for executing a man for having different ideas. He discovers while in disguise that people blame him for Jaffar's deeds and hate him. He is imprisoned by Jaffar, where he meets Abu the young thief. The two escape and take a boat to the city of Basra. There the companions spy when men clear the way so none will see the Princess of the city passing by. Ahmad falls in love with her and visits her in her garden. He tells her he has come to her from beyond time and wins a kiss. Then he is captured. When Jaffar comes to win the Princess of Basra for himself, Ahmad attacks the evil vizier who blinds him and turns Abu into a dog. Jaffar then asks for the Princess's hand, and he gives the gift of a mechanical flying horse to the Sultan of Basra. The blind Ahmad then tells his tale in the marketplace, accompanied by Abu as his dog. The Prince has fallen into a sleep and nothing can wake her. So Jaffar sends his servant Halima for Ahmad and the dog, in hopes the prince can rouse her. He does awaken her. She boards a ship to find a doctor to cure Ahmad, but she is captured by Jaffar who then throws the dog overboard. She then allows Jaffar to take her in his arms, on his promise to restore Ahmad's sight and turn Abu back into a thief. The princess sees a vision of Ahmad; he is in a boat; Jaffar sends a storm to beset him and Abu is shipwrecked on a deserted island. Abu finds a genie or djinn who wants to kill him now that he is free after many centuries spent imprisoned in a bottle. Abu tricks him into proving he really came from so small a vessel, then corks him in again. For freeing him, he gets three wishes. His first is for sausages. In the meanwhile, the Princess pleads with her father to refuse Jaffar; but Jaffar shows the Sultan a new mechanical toy, one of whose six arms stabs him to death. Abu makes a second wish, to find Ahmad. The cunning genie flies him to the goddess of the All-Seeing eye. Abu has to climb a great web to get to the gem that is the eye, battling a giant spider, then scaling the goddess's statue. Abu gazes into the 'eye' and sees Ahmad in a canyon. He has the genie take him to Ahmad. Ahmad uses the eye to see the princess. She smells a flower and forgets everything at once. Abu wishes they were in Bagdad, but the genie laughs and leaves; Jaffar tells the Princess that she is in love with him, omitting mention of Ahmad. Ahmad tries to fight his way to the Princess, but Jaffar smashes the 'eye'. Abu finds himself in the ""Land of Legend"", where the old men who rule want to make him their king. He steals a bow and a magic carpet and escapes instead, to hurry to save Ahmad and the princess. The thief arrives in time to save the young king from the executioner, using his bow from the flying carpet, to the wonder of the throng who had come to watch the execution. Jaffar tries to flee on the mechanical flying horse, but another shot from the bow finishes him. Ahmad is ruler again and plans to wed his Princess; but when he tries to make Abu his vizier, the young thief refuses, saying that what he wants is adventure, not hard work and confinement in a palace however grand it may be. This fantastic story was given a sumptuous production by producer Alexander Korda. The production was designed by Vincent Korda who was also art director, while Georges Perinal did the colorful cinematography. The directors credited are Ludwig Berger and Michael Powell, with Tim Whelan, Alexander Korda, William Cameron Menzies and Zoltan Korda participating. The extraordinary and numerous costumes designs were the work of John Armstrong, Oliver Messel and Marcel Vertes. The production, apart from its gorgeous and expensive-looking visual splendors, I claim is dominated by two other elements, the choral music of Miklos Rozsa and the performance by Conrad Veidt as the evil Jaffar. Rex Ingram plays the genie with a curious accent, plus his usual intelligence and power. June Duprez is lovely and effective as the Princess Mary Morris is a sad and beautiful Halima, and Miles Malleson a properly bumbling and avaricious Sultan. As Ahmad, John Justin appears to do most of what can be done with the part of a young prince in love and then some; he is memorably good in his winning role. This film has a spaciousness about it that is found, I assert, in other Korda works also. Its imaginative content stands in contrast to very-strong realistic sets, costumes and set-design elements. This is one of the most memorable idea-level fantasies of all time, worthy to be enjoyed over and over.",positive
"This is one of the best and moodiest Vampire Tales ever! I love this movie really. The character are great, even the locations and the story. Indeed the Picture isn't a big budget production, but it is absolutely worth seeing.<br /><br />OK there are some faults (especially the Names of the Castle and the Locations) in this movie, but such mistakes are typically and are almost in every Horror Movie.<br /><br />The scenery fits perfect to the story and is close to reality,I can say that honest, because I visit them once when I was in Romania in my Vacations.<br /><br />In my opinion this is the Best Part of the Subspecies Series.",positive
"This movie is up there with the all-time classics. The music, camera shots, and acting are excellent. Showing the movie in black and white gave it a much better appearance and complemented the music perfectly, like Psycho. Its surprising how so few people have commented on this movie. My guess is that its a hard movie to find. I gave the film a 9. See the movie and you'll know what I'm talking about.",positive
"This is one of the worst films I've seen for years. The storyline has potential that is never realized. The actors are a poor choice, but considering the screen writing, their talent isn't wasted. I really wanted everyone dead as quickly as possible so I could get out and watch something else. Unfortunately, I did stay to the end and had a laugh at the murmurs of people moaning about how crappy this is. There wasn't booing, after all, this is England, just gentle moans about how crap that was. Then, I look on IMDb and see 288 people have given it 10 out of 10. I really just cannot see how those people are able to give that score. They must be a PR company working with the distributor. There's a hilarious set problem towards the end of the film, when in the graveyard and the hick attacks, look out for the dodgy scenery that rocks when touched (supposed to be a brick wall) - the blood effects are waaaay OTT - the film feels like everyone is making a spoof horror except the Director.",negative
"1 out of 10.<br /><br />This is the kind of movie that you cant believe you just wasted 2 hours of your life as you see the credits role. I honestly think I could make a better Vampire movie.... and I know nothing. The only thing that does not just suck (harder than a Vampire) is Jason Scott Lee.... his character is at least a little bit cool, has some mystery, and kicks a little butt.",negative
"I first heard of this film when Patton Oswalt talked about it on his ""Werewolves and Lollipops"" CD. He said it was a lost classic that is completely ridiculous. Being a lover of terrible cinema, I knew I was in for a treat.<br /><br />This film is, hands down, one of the weirdest I've ever seen. Certainly one of the weirdest shlock films. Basically, a demon took human form years ago for a woman, the woman died or something, the demon cried blood, the blood fell on the bed, the bed is now possessed and it now eats. Along with fruit, flowers and chicken, it also has a taste for people. The people can range between horny teens, mayors, gangsters, servants or professional orgy throwers. There's also a sick guy who the bed ate but put his soul behind a picture in the room.<br /><br />Most movies let you figure out the plot through exciting action. Death Bed takes another path: it basically tells you through narration exactly what's happening while slow, dull murder scenes take place. Also, I must say everyone who's eaten by the bed are surprisingly quiet. I would think if a bed is eating you through the ways of a 5th grade science fair experiment, it would sting a little. I guess nerve endings weren't invented until 1981 or so.<br /><br />The story is wacky, the direction is slow and pretty awful, the sets are sparse, the acting it fairly painful and the brother is one of the unintentionally ugliest actors I've ever seen. Probably would make a great party film if alcohol and smart-asses are involved. Certainly one you shouldn't miss.",negative
"I agree that the movie is a little slow at spots having many scenes of mundane everyday life and no dialog. And I wasn't impressed right after I watched it. However, after a few days, I realized that the movie stays with me and it evokes a melancholy mood which lingers in my mind. My appreciation of this movie increases. It certainly merits a higher consideration than those movies that are instantly forgettable.<br /><br />As many have commented, the movie is non-linear and that's a hallmark of European film-making as opposed to the linear narrative form that Hollywood favors. I don't really know whether it's true or not. Many also dislike its confusing structure and lack of clear explanations. To those viewers, I don't think there is much I can say to change their opinions. However, for others who have yet to see the film, DO expect to be challenged and DON'T expect the film to supply all the answers and you might come away enjoying it more than you would otherwise.<br /><br />The movie skips around a bit but really chronicles just 3 time periods. Pay attention to the hair style and you can easily separate out 2 of the 3 periods. It is also not as confusing as suggested; just enjoy and it'll all be clear at the end.<br /><br />Yes, lots of things are left unsaid or not shown, and lots of situations are left unexplored. But isn't that what life is like? A lot of time you're not sure of the motives of your friends/loved ones unless you confront them and even then, you can never be 100% sure if they told you the whole truth. This type of movies forces us to interpret the reasons behind the actions. The movie does, however, leave enough hints for you to make some reasonable assumptions. For example, Mathieu is manic depressive, to the point of suicidal. Why? I don't know, maybe his life is not turning out exactly as he expects it; maybe he misses his family but hasn't forgiven his father for abandoning his sick mother at her hours of need; maybe after all he sacrifices for Cedric, rearranging and indeed, shattering his life to be with him, he realizes that it is all ""coming undone"". I think the director meant to show us that he has always been a little off, mentality fragile by that scene w/ the dead bird. Maybe he has a very sensitive psyche and all these stresses are taking a toll on him. But we're also shown that he is not some animal torturing psycho by his loving interaction w/ the stray cat. Also, there is one conversation between the doctor and Cedric that sheds light on the reason behind the breakup and maybe the suicide attempt. The doctor asks him if everything is okay, and Cedric thinks so even though he cheated on Mathieu once, but that's nothing, according to Cedric. Is that the only reason, we don't know, there are probably others, all mixed up together. Is it paramount that we know exactly what they are? I don't think so, for this movie. Another telltale sign that they are ultimately not compatible is the historical ruins scene. Mathieu is interested in studying the ruins, Cedric is not. He is the one w/ the raging hormone who focuses only on the physical side without an intellectual side that Mathieu obviously needs.<br /><br />Finally, the ending is really rather hopeful and sweet. I was pleasantly surprised by the turn of events after the bleak tone that edges toward the end.<br /><br />I have two complaints for the DVD. One is the sound. It's very soft. I had to crank up the volume to hear the dialog and then when it switched to a bar or outdoor crowd scene, it became too loud. The other is that the subtitles can't be turn off; they stay on the screen. Most foreign movie DVDs not released by a major studio are shoddy this way unfortunately.",positive
"Uninspired direction leaves a decent cast stranded in a handsome but bland adaptation, in which dialogue seems recited rather than heartfelt, and cash strapped appearances by the ghosts fail to round up any sense of awe or magic; Edward Woodward, as the Ghost of Christmas Present, wobbles around on stilts and seems to be doing an impression of Bernard Cribbins. As Scrooge, George C. Scott is too wry, and he never seems to truly believe in it, which robs his performance of its effect. The scenes in which he's shown his past have as much impact as if he was half-heartedly flicking through his family album. No one else seems to be putting any effort in, except Frank Finlay, who chronically overacts.",negative
